threads,delta,light,rebuilds,time_es
2,1,60,5,260.942
2,11,60,5,116.67
2,21,60,5,96.9204
2,31,60,5,73.05839999999999
2,41,60,5,63.8002
2,51,60,5,57.6096
2,61,60,5,48.9578
2,71,60,5,45.291199999999996
2,81,60,5,39.9842
2,91,60,5,38.0116
2,101,60,5,36.6366
2,111,60,5,33.0148
2,121,60,5,33.6018
2,131,60,5,32.6374
2,141,60,5,30.238
2,151,60,5,28.6492
2,161,60,5,27.9238
2,171,60,5,27.2248
2,181,60,5,25.412
2,191,60,5,25.2852
2,201,60,5,23.1516
2,211,60,5,25.1112
2,221,60,5,23.109
2,231,60,5,22.430799999999998
2,241,60,5,23.5096
2,251,60,5,23.682
2,261,60,5,22.3232
2,271,60,5,22.0384
2,281,60,5,21.4654
2,291,60,5,19.76018
3,1,60,5,271.384
3,11,60,5,134.1522
3,21,60,5,114.3828
3,31,60,5,95.8018
3,41,60,5,84.6
3,51,60,5,73.909
3,61,60,5,62.075599999999994
3,71,60,5,63.70399999999999
3,81,60,5,51.150999999999996
3,91,60,5,56.8676
3,101,60,5,41.8428
3,111,60,5,41.7462
3,121,60,5,42.6834
3,131,60,5,40.8344
3,141,60,5,38.498200000000004
3,151,60,5,38.4822
3,161,60,5,35.044
3,171,60,5,37.6476
3,181,60,5,31.932799999999997
3,191,60,5,34.037
3,201,60,5,33.5946
3,211,60,5,35.388799999999996
3,221,60,5,31.4784
3,231,60,5,32.0526
3,241,60,5,27.3376
3,251,60,5,33.370999999999995
3,261,60,5,30.647199999999998
3,271,60,5,26.9978
3,281,60,5,28.667
3,291,60,5,27.8322
4,1,60,5,343.56399999999996
4,11,60,5,194.1888
4,21,60,5,148.6978
4,31,60,5,125.6682
4,41,60,5,114.5086
4,51,60,5,103.098
4,61,60,5,84.7234
4,71,60,5,75.75739999999999
4,81,60,5,79.249
4,91,60,5,76.3114
4,101,60,5,68.16499999999999
4,111,60,5,65.36420000000001
4,121,60,5,55.419399999999996
4,131,60,5,58.6816
4,141,60,5,52.96900000000001
4,151,60,5,53.4046
4,161,60,5,52.148
4,171,60,5,52.275
4,181,60,5,48.4576
4,191,60,5,45.6266
4,201,60,5,43.711
4,211,60,5,46.2944
4,221,60,5,39.3558
4,231,60,5,43.5704
4,241,60,5,43.4286
4,251,60,5,40.346199999999996
4,261,60,5,39.572199999999995
4,271,60,5,39.644
4,281,60,5,34.574400000000004
4,291,60,5,37.1794
5,1,60,5,399.428
5,11,60,5,260.236
5,21,60,5,196.0136
5,31,60,5,172.8712
5,41,60,5,151.24
5,51,60,5,136.1686
5,61,60,5,126.1374
5,71,60,5,103.85940000000001
5,81,60,5,113.46579999999999
5,91,60,5,86.715
5,101,60,5,89.4864
5,111,60,5,89.2912
5,121,60,5,74.8438
5,131,60,5,81.612
5,141,60,5,74.8058
5,151,60,5,76.8604
5,161,60,5,68.6788
5,171,60,5,65.2162
5,181,60,5,62.7016
5,191,60,5,67.934
5,201,60,5,58.8328
5,211,60,5,61.657000000000004
5,221,60,5,54.120000000000005
5,231,60,5,58.2552
5,241,60,5,49.3026
5,251,60,5,54.04600000000001
5,261,60,5,56.4836
5,271,60,5,51.8848
5,281,60,5,48.513799999999996
5,291,60,5,44.5062
6,1,60,5,503.82
6,11,60,5,290.992
6,21,60,5,274.12199999999996
6,31,60,5,210.97199999999998
6,41,60,5,223.35399999999998
6,51,60,5,170.5464
6,61,60,5,158.6258
6,71,60,5,146.10219999999998
6,81,60,5,135.4104
6,91,60,5,126.2174
6,101,60,5,118.8104
6,111,60,5,113.168
6,121,60,5,102.98179999999999
6,131,60,5,98.8656
6,141,60,5,89.19539999999999
6,151,60,5,88.7876
6,161,60,5,86.0056
6,171,60,5,86.7846
6,181,60,5,77.7102
6,191,60,5,75.7796
6,201,60,5,73.96799999999999
6,211,60,5,72.1926
6,221,60,5,66.36280000000001
6,231,60,5,69.194
6,241,60,5,62.6668
6,251,60,5,66.0642
6,261,60,5,64.50800000000001
6,271,60,5,59.5458
6,281,60,5,59.73440000000001
6,291,60,5,57.8086
7,1,60,5,615.658
7,11,60,5,465.51599999999996
7,21,60,5,326.732
7,31,60,5,281.036
7,41,60,5,241.026
7,51,60,5,215.56
7,61,60,5,202.582
7,71,60,5,183.3926
7,81,60,5,158.6468
7,91,60,5,156.506
7,101,60,5,128.678
7,111,60,5,133.7846
7,121,60,5,113.8144
7,131,60,5,112.0644
7,141,60,5,103.42
7,151,60,5,99.002
7,161,60,5,92.65180000000001
7,171,60,5,93.2784
7,181,60,5,88.1686
7,191,60,5,87.74080000000001
7,201,60,5,84.2124
7,211,60,5,80.4384
7,221,60,5,78.40259999999999
7,231,60,5,77.2842
7,241,60,5,73.7654
7,251,60,5,75.78020000000001
7,261,60,5,71.1254
7,271,60,5,70.3848
7,281,60,5,65.8086
7,291,60,5,63.89880000000001
8,1,60,5,636.214
8,11,60,5,406.65999999999997
8,21,60,5,342.992
8,31,60,5,293.556
8,41,60,5,228.098
8,51,60,5,230.012
8,61,60,5,204.432
8,71,60,5,178.1646
8,81,60,5,165.4118
8,91,60,5,156.8924
8,101,60,5,149.0182
8,111,60,5,134.0008
8,121,60,5,125.25460000000001
8,131,60,5,118.0196
8,141,60,5,113.8916
8,151,60,5,110.03479999999999
8,161,60,5,104.2404
8,171,60,5,100.0958
8,181,60,5,95.1778
8,191,60,5,95.7938
8,201,60,5,93.2006
8,211,60,5,90.11699999999999
8,221,60,5,85.2936
8,231,60,5,83.51520000000001
8,241,60,5,78.7838
8,251,60,5,78.00919999999999
8,261,60,5,78.0968
8,271,60,5,76.5616
8,281,60,5,72.3486
8,291,60,5,73.4394
9,1,60,5,871.242
9,11,60,5,550.9739999999999
9,21,60,5,423.642
9,31,60,5,342.822
9,41,60,5,288.456
9,51,60,5,257.86
9,61,60,5,242.03400000000002
9,71,60,5,217.94
9,81,60,5,197.3238
9,91,60,5,182.4592
9,101,60,5,170.372
9,111,60,5,158.9836
9,121,60,5,147.0422
9,131,60,5,138.4014
9,141,60,5,133.9578
9,151,60,5,124.15920000000001
9,161,60,5,122.876
9,171,60,5,116.644
9,181,60,5,110.83840000000001
9,191,60,5,102.37
9,201,60,5,104.80080000000001
9,211,60,5,99.2132
9,221,60,5,94.975
9,231,60,5,95.9564
9,241,60,5,90.3226
9,251,60,5,82.9778
9,261,60,5,88.099
9,271,60,5,87.8288
9,281,60,5,86.3526
9,291,60,5,80.2692
