threads,delta,light,rebuilds,time_es
2,1,60,5,510.93
2,11,60,5,242.224
2,21,60,5,176.1148
2,31,60,5,144.02280000000002
2,41,60,5,118.67580000000001
2,51,60,5,100.4148
2,61,60,5,93.9494
2,71,60,5,81.0414
2,81,60,5,77.12519999999999
2,91,60,5,66.7576
2,101,60,5,66.09360000000001
2,111,60,5,64.3806
2,121,60,5,62.622400000000006
2,131,60,5,61.0538
2,141,60,5,56.9674
2,151,60,5,54.571400000000004
2,161,60,5,49.5488
2,171,60,5,51.251400000000004
2,181,60,5,50.0918
2,191,60,5,53.04880000000001
2,201,60,5,45.3344
2,211,60,5,50.126799999999996
2,221,60,5,44.7648
2,231,60,5,48.0668
2,241,60,5,49.047000000000004
2,251,60,5,48.5724
2,261,60,5,47.4514
2,271,60,5,42.568200000000004
2,281,60,5,44.1418
2,291,60,5,43.063
3,1,60,5,615.212
3,11,60,5,290.826
3,21,60,5,237.58800000000002
3,31,60,5,176.7972
3,41,60,5,153.1572
3,51,60,5,135.3184
3,61,60,5,130.5582
3,71,60,5,124.05
3,81,60,5,110.3922
3,91,60,5,99.0282
3,101,60,5,109.3444
3,111,60,5,86.41
3,121,60,5,86.14959999999999
3,131,60,5,84.774
3,141,60,5,75.8082
3,151,60,5,78.81739999999999
3,161,60,5,71.5532
3,171,60,5,72.39779999999999
3,181,60,5,73.9092
3,191,60,5,66.85679999999999
3,201,60,5,62.057399999999994
3,211,60,5,61.821600000000004
3,221,60,5,69.2432
3,231,60,5,61.489599999999996
3,241,60,5,56.9744
3,251,60,5,60.4202
3,261,60,5,65.2896
3,271,60,5,65.57759999999999
3,281,60,5,53.2534
3,291,60,5,56.6044
4,1,60,5,728.452
4,11,60,5,419.30600000000004
4,21,60,5,337.41999999999996
4,31,60,5,260.07
4,41,60,5,245.61599999999999
4,51,60,5,191.3578
4,61,60,5,181.4284
4,71,60,5,169.611
4,81,60,5,147.62
4,91,60,5,138.0598
4,101,60,5,126.95599999999999
4,111,60,5,124.6392
4,121,60,5,112.38340000000001
4,131,60,5,112.24480000000001
4,141,60,5,105.8714
4,151,60,5,102.7114
4,161,60,5,102.78659999999999
4,171,60,5,92.1298
4,181,60,5,94.95599999999999
4,191,60,5,87.3672
4,201,60,5,78.9084
4,211,60,5,87.9032
4,221,60,5,81.3486
4,231,60,5,83.36760000000001
4,241,60,5,80.9134
4,251,60,5,82.1768
4,261,60,5,80.60560000000001
4,271,60,5,69.8104
4,281,60,5,75.87960000000001
4,291,60,5,75.3966
5,1,60,5,860.4200000000001
5,11,60,5,529.072
5,21,60,5,436.02
5,31,60,5,328.68
5,41,60,5,297.896
5,51,60,5,272.844
5,61,60,5,228.11399999999998
5,71,60,5,210.42399999999998
5,81,60,5,189.8402
5,91,60,5,195.7396
5,101,60,5,177.2786
5,111,60,5,154.8604
5,121,60,5,150.53699999999998
5,131,60,5,152.3026
5,141,60,5,128.6514
