threads,delta,time_es
2,1,293.308
2,11,122.6754
2,21,95.551
2,31,73.83619999999999
2,41,66.8142
2,51,55.023
2,61,50.1914
2,71,48.0818
2,81,42.4684
2,91,41.8324
2,101,36.581599999999995
2,111,33.956599999999995
2,121,35.1072
2,131,33.93
2,141,32.1428
2,151,29.711399999999998
2,161,30.4608
2,171,28.4266
2,181,29.855200000000004
2,191,28.4634
2,201,26.562599999999996
2,211,26.468
2,221,28.1714
2,231,27.552999999999997
2,241,26.0844
2,251,25.986200000000004
2,261,26.165
2,271,25.351599999999998
2,281,26.0084
2,291,23.9982
3,1,360.13800000000003
3,11,153.04500000000002
3,21,112.43979999999999
3,31,93.9962
3,41,79.79679999999999
3,51,66.51599999999999
3,61,59.8524
3,71,56.483399999999996
3,81,53.821400000000004
3,91,45.1644
3,101,43.5692
3,111,43.5072
3,121,40.045
3,131,40.021
3,141,36.8584
3,151,34.618
3,161,35.3038
3,171,34.2044
3,181,33.7432
3,191,31.880200000000002
3,201,30.441000000000003
3,211,30.841
3,221,33.037400000000005
3,231,31.172800000000002
3,241,27.0332
3,251,29.345
3,261,29.3228
3,271,29.311200000000003
3,281,29.285000000000004
3,291,28.427
4,1,476.034
4,11,185.6978
4,21,143.4966
4,31,120.43979999999999
4,41,102.7474
4,51,83.954
4,61,77.1742
4,71,70.1652
4,81,66.3014
4,91,60.31420000000001
4,101,58.1034
4,111,51.321799999999996
4,121,47.5984
4,131,48.0784
4,141,46.372
4,151,39.8388
4,161,42.422399999999996
4,171,42.6008
4,181,40.826
4,191,39.931599999999996
4,201,38.570800000000006
4,211,36.9332
4,221,37.6978
4,231,38.1906
4,241,36.248599999999996
4,251,36.1044
4,261,34.3174
4,271,33.362
4,281,33.0472
4,291,34.3332
5,1,590.076
5,11,230.62199999999999
5,21,179.998
5,31,143.33679999999998
5,41,121.7172
5,51,106.90619999999998
5,61,99.59819999999999
5,71,86.9398
5,81,80.79400000000001
5,91,74.2142
5,101,67.6544
5,111,64.4362
5,121,61.0742
5,131,56.096000000000004
5,141,57.236000000000004
5,151,51.7556
5,161,48.3262
5,171,50.3084
5,181,46.4934
5,191,45.062200000000004
5,201,44.4208
5,211,48.1914
5,221,48.3976
5,231,45.0954
5,241,41.6962
5,251,41.5238
5,261,45.0866
5,271,36.620999999999995
5,281,41.9774
5,291,37.308800000000005
6,1,776.5060000000001
6,11,293.618
6,21,225.802
6,31,182.8628
6,41,178.445
6,51,144.5288
6,61,125.0436
6,71,115.56379999999999
6,81,93.4472
6,91,88.8034
6,101,94.20779999999999
6,111,80.0718
6,121,78.4734
6,131,68.53020000000001
6,141,74.5454
6,151,67.4474
6,161,64.35499999999999
6,171,61.632600000000004
6,181,57.9782
6,191,58.5572
6,201,60.44160000000001
6,211,59.0896
6,221,61.53920000000001
6,231,53.311
6,241,53.0188
6,251,51.187200000000004
6,261,49.197
6,271,50.9442
6,281,52.2402
6,291,53.4794
7,1,928.942
7,11,390.46799999999996
7,21,286.91999999999996
7,31,218.836
7,41,200.82
7,51,148.70260000000002
7,61,151.2932
7,71,136.6652
7,81,121.42739999999999
7,91,123.5462
7,101,106.6994
7,111,100.2124
7,121,90.5432
7,131,90.2808
7,141,92.2316
7,151,86.433
7,161,92.27279999999999
7,171,75.3866
7,181,72.8034
7,191,72.5376
7,201,69.209
7,211,67.99539999999999
7,221,70.5734
7,231,67.78020000000001
7,241,62.185
7,251,70.2402
7,261,62.702999999999996
7,271,61.0904
7,281,56.500800000000005
7,291,58.2358
8,1,953.894
8,11,384.408
8,21,275.808
8,31,246.76999999999998
8,41,222.506
8,51,170.28140000000002
8,61,168.3814
8,71,162.965
8,81,126.999
8,91,133.0066
8,101,133.1538
8,111,119.4698
8,121,106.52619999999999
8,131,103.9002
8,141,91.3428
8,151,99.27680000000001
8,161,93.1424
8,171,89.5296
8,181,75.0684
8,191,77.7284
8,201,80.4366
8,211,76.937
8,221,75.2244
8,231,78.94539999999999
8,241,69.8034
8,251,68.77380000000001
8,261,71.601
8,271,70.3814
8,281,69.08619999999999
8,291,73.01259999999999
9,1,1268.836
9,11,452.31800000000004
9,21,368.298
9,31,292.20799999999997
9,41,256.464
9,51,232.60999999999999
9,61,208.87199999999999
9,71,190.176
9,81,176.9014
9,91,147.88479999999998
9,101,141.004
9,111,146.014
9,121,131.70260000000002
9,131,129.0982
9,141,119.7932
9,151,114.28779999999999
9,161,115.4934
9,171,109.519
9,181,101.8288
9,191,92.0242
9,201,98.8364
9,211,87.9038
9,221,91.1812
9,231,84.166
9,241,83.329
9,251,87.829
9,261,76.6694
9,271,72.4242
9,281,77.5332
9,291,79.64439999999999
