threads,delta,time_es
2,1,518.126
2,11,253.31799999999998
2,21,185.3552
2,31,155.934
2,41,125.7278
2,51,112.6288
2,61,98.68039999999999
2,71,94.2538
2,81,84.4484
2,91,78.3508
2,101,72.58959999999999
2,111,71.7884
2,121,69.63
2,131,70.264
2,141,66.681
2,151,63.9172
2,161,64.48819999999999
2,171,60.803399999999996
2,181,59.659000000000006
2,191,66.5564
2,201,63.2884
2,211,67.0864
2,221,62.6568
2,231,58.391
2,241,56.323
2,251,54.31079999999999
2,261,61.052
2,271,54.4978
2,281,56.8052
2,291,59.651199999999996
3,1,657.394
3,11,300.89
3,21,206.47199999999998
3,31,173.091
3,41,145.5632
3,51,129.0926
3,61,112.3142
3,71,103.19800000000001
3,81,99.3336
3,91,94.4856
3,101,90.592
3,111,81.7872
3,121,81.1266
3,131,78.1622
3,141,75.57140000000001
3,151,76.106
3,161,71.9488
3,171,67.8284
3,181,69.3562
3,191,69.26079999999999
3,201,66.06
3,211,62.36900000000001
3,221,64.90119999999999
3,231,64.2616
3,241,62.5332
3,251,66.2366
3,261,63.9006
3,271,66.2808
3,281,62.116600000000005
3,291,64.61760000000001
4,1,835.226
4,11,398.298
4,21,280.18
4,31,223.72600000000003
4,41,186.78699999999998
4,51,162.299
4,61,154.5076
4,71,128.138
4,81,114.8208
4,91,113.3116
4,101,106.69239999999999
4,111,100.6696
4,121,95.3524
4,131,93.2394
4,141,89.114
4,151,83.9298
4,161,80.9364
4,171,81.7676
4,181,76.5362
4,191,77.6902
4,201,78.6308
4,211,77.6008
4,221,71.1842
4,231,74.4832
4,241,73.7782
4,251,70.2166
4,261,74.6962
4,271,69.64439999999999
4,281,74.2576
4,291,73.6572
5,1,978.164
5,11,451.12600000000003
5,21,344.62399999999997
5,31,293.908
5,41,220.644
5,51,205.85
5,61,168.273
5,71,168.6338
5,81,148.7536
5,91,141.2234
5,101,132.865
5,111,110.56980000000001
5,121,110.1348
5,131,101.1182
5,141,101.339
5,151,98.2908
5,161,92.1338
5,171,95.1382
5,181,93.7006
5,191,89.5254
5,201,89.4214
5,211,88.69640000000001
5,221,83.5888
5,231,83.4148
5,241,79.143
5,251,83.69539999999999
5,261,84.90220000000001
5,271,79.6664
5,281,82.865
5,291,80.9704
6,1,1273.284
6,11,626.786
6,21,469.956
6,31,340.154
6,41,295.796
6,51,269.62800000000004
6,61,222.19400000000002
6,71,186.68720000000002
6,81,196.0514
6,91,189.5262
6,101,165.671
6,111,154.7144
6,121,138.4376
6,131,139.3338
6,141,123.28699999999999
6,151,135.8836
6,161,114.81620000000001
6,171,105.8184
6,181,116.57159999999999
6,191,102.4298
6,201,114.28800000000001
6,211,103.6792
6,221,111.7216
6,231,100.0612
6,241,107.7586
6,251,97.8398
6,261,98.5214
6,271,93.6568
6,281,98.3326
6,291,99.17960000000001
7,1,1649.2939999999999
7,11,794.624
7,21,561.306
7,31,490.26800000000003
7,41,358.99
7,51,323.87800000000004
7,61,291.87800000000004
7,71,268.894
7,81,236.664
7,91,223.304
7,101,197.7318
7,111,175.7054
7,121,184.3248
7,131,166.514
7,141,159.6212
7,151,154.1362
7,161,145.3674
7,171,146.6506
7,181,126.4154
7,191,132.97560000000001
7,201,123.13140000000001
7,211,129.9398
7,221,125.76320000000001
7,231,121.48299999999999
7,241,117.2648
7,251,128.1172
7,261,109.52739999999999
7,271,110.93260000000001
7,281,114.2932
7,291,111.0488
8,1,1606.224
8,11,825.278
8,21,560.424
8,31,480.11800000000005
8,41,366.15999999999997
8,51,323.098
8,61,280.008
8,71,252.76399999999998
8,81,269.762
8,91,212.936
8,101,227.38600000000002
8,111,209.796
8,121,195.9106
8,131,195.7472
8,141,166.91479999999999
8,151,164.39659999999998
8,161,162.6368
8,171,162.1898
8,181,152.2674
8,191,135.1358
8,201,142.18019999999999
8,211,139.3068
8,221,131.3874
8,231,134.7038
8,241,120.69179999999999
8,251,131.6308
8,261,122.022
8,271,127.4416
8,281,121.6586
8,291,113.60419999999999
9,1,2260.96
9,11,1060.094
9,21,763.792
9,31,595.6859999999999
9,41,463.034
9,51,426.332
9,61,383.48
9,71,327.006
9,81,321.956
9,91,273.174
9,101,263.076
9,111,262.954
9,121,225.344
9,131,222.07800000000003
9,141,200.34
9,151,214.856
9,161,188.18019999999999
9,171,190.86020000000002
9,181,178.5678
9,191,176.2764
9,201,163.07739999999998
9,211,167.8496
9,221,169.1758
9,231,156.4204
9,241,158.3854
9,251,153.3316
9,261,149.7732
9,271,142.73219999999998
9,281,146.4584
9,291,144.08599999999998
